BALANCED

Starting job on i43
Loading modules...

Lmod is automatically replacing "gcc/11.3.0" with "intel/2021.6.0".

Activating virtual environment...
Running Python script...
/home/limozin/venvs/course_py-3.10/lib/python3.10/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of DebertaV2ForSequenceClassification were not initialized from the model checkpoint at microsoft/mdeberta-v3-base and are newly initialized: ['classifier.bias', 'classifier.weight', 'pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Using device: cuda
Epoch 1/12
Batch 4/394, Batch Loss: 0.7198
Batch 8/394, Batch Loss: 0.7004
Batch 12/394, Batch Loss: 0.7047
Batch 16/394, Batch Loss: 0.6887
Batch 20/394, Batch Loss: 0.7020
Batch 24/394, Batch Loss: 0.7012
Batch 28/394, Batch Loss: 0.6939
Batch 32/394, Batch Loss: 0.7069
Batch 36/394, Batch Loss: 0.7189
Batch 40/394, Batch Loss: 0.7046
Batch 44/394, Batch Loss: 0.7126
Batch 48/394, Batch Loss: 0.7172
Batch 52/394, Batch Loss: 0.6909
Batch 56/394, Batch Loss: 0.6939
Batch 60/394, Batch Loss: 0.7092
Batch 64/394, Batch Loss: 0.6919
Batch 68/394, Batch Loss: 0.6943
Batch 72/394, Batch Loss: 0.6949
Batch 76/394, Batch Loss: 0.6984
Batch 80/394, Batch Loss: 0.6979
Batch 84/394, Batch Loss: 0.6826
Batch 88/394, Batch Loss: 0.6958
Batch 92/394, Batch Loss: 0.6776
Batch 96/394, Batch Loss: 0.6960
Batch 100/394, Batch Loss: 0.7238
Batch 104/394, Batch Loss: 0.6870
Batch 108/394, Batch Loss: 0.7106
Batch 112/394, Batch Loss: 0.6993
Batch 116/394, Batch Loss: 0.6804
Batch 120/394, Batch Loss: 0.6823
Batch 124/394, Batch Loss: 0.6825
Batch 128/394, Batch Loss: 0.6966
Batch 132/394, Batch Loss: 0.6886
Batch 136/394, Batch Loss: 0.6831
Batch 140/394, Batch Loss: 0.7057
Batch 144/394, Batch Loss: 0.6931
Batch 148/394, Batch Loss: 0.6712
Batch 152/394, Batch Loss: 0.6904
Batch 156/394, Batch Loss: 0.6685
Batch 160/394, Batch Loss: 0.7040
Batch 164/394, Batch Loss: 0.6737
Batch 168/394, Batch Loss: 0.6532
Batch 172/394, Batch Loss: 0.7329
Batch 176/394, Batch Loss: 0.6379
Batch 180/394, Batch Loss: 0.6485
Batch 184/394, Batch Loss: 0.6514
Batch 188/394, Batch Loss: 0.6921
Batch 192/394, Batch Loss: 0.6862
Batch 196/394, Batch Loss: 0.6875
Batch 200/394, Batch Loss: 0.7050
Batch 204/394, Batch Loss: 0.7010
Batch 208/394, Batch Loss: 0.6528
Batch 212/394, Batch Loss: 0.6799
Batch 216/394, Batch Loss: 0.6411
Batch 220/394, Batch Loss: 0.6303
Batch 224/394, Batch Loss: 0.6513
Batch 228/394, Batch Loss: 0.6464
Batch 232/394, Batch Loss: 0.6409
Batch 236/394, Batch Loss: 0.6493
Batch 240/394, Batch Loss: 0.6223
Batch 244/394, Batch Loss: 0.6571
Batch 248/394, Batch Loss: 0.6442
Batch 252/394, Batch Loss: 0.7388
Batch 256/394, Batch Loss: 0.7379
Batch 260/394, Batch Loss: 0.6790
